Provincia;Nome;Indirizzo;Città;CAP;Telefono
Padova;Sala Teatro Falcone Borsellino;Via Roma 44;Limena;35010;049 8844 314
Padova;Tam - Teatro alle Maddalene;Via San Giovanni di Verdara 40;Padova;35137;48725423
Padova;Teatro ai Colli;Via Monte Lozzo 16 (Brusegana);Padova;35143;49720298
Padova;Teatro Aldo Rossi;Viale Europa 12;Borgoricco;35010;0499336321 - 0499337930 (uff.cultura)
Padova;Teatro Antonianum;Via A. Briosco 7;Padova;35123;049 8933109
Padova;Teatro Auditorium;Via Dante 2;Piazzola sul Brenta;35016;
Padova;Teatro Carlo Goldoni;Piazza Unita' D'Italia;Bagnoli di Sopra;35023;347 9756989
Padova;Teatro Comunale Polivalente;Via Donati 1;Abano Terme;35031;498245220
Padova;Teatro Congressi;Largo Marconi 16;Abano Terme;35031;498666111
Padova;Teatro dei Filodrammatici;Calle della Musica 13;Este;35042;042951551 - 3487221972
Padova;Teatro de Linutile;Via Agordat 5;Padova;35138;492022907
Padova;Teatro del Palazzo del Turismo;Via Scavi 14;Montegrotto Terme;35036;49793411
Padova;Teatro Filarmonico;Via Cardano 7;Piove di Sacco;35028;495840177
Padova;Teatro Parrocchiale;Via Chiesa di Bresega 108 (Bresega);Ponso;35040;42995071
Padova;Teatro Parrocchiale Bresseo-Treponti;Via Papa Luciani 25;Teolo;35037;3485544744
Padova;Teatro Quirino De Giorgio;Piazza Zanella 1;Vigonza;35010;3298990903
Padova;Teatro San Clemente;Via Messico;Padova;35127;049 650294
Padova;Teatro Sociale di Cittadella;Via Indipendenza 19;Cittadella;35013;3480090061
Padova;Teatro Studio;Via Sorio 116;Padova;35100;049 8725757
Padova;Teatro Verdi;Via dei Livello32;Padova;35139;Bigl 04987770213 - Centr 0498777011
Padova;Villa Pisani Scalabrin Bolognesi;Via Roma 19;Vescovana;35040;425920016
Rovigo;Auditorium di Santa Maria Maddalena;Via Amendola;Occhiobello;45030;340 3077258
Rovigo;Centro Culturale Mario Vittorio Rossi;Piazzale San Benedetto 74;Costa di Rovigo;45023;0425497272 (centralino comune)
Rovigo;Cinema Teatro Circolo Noi Santa Sofia;Piazzale Duomo 2;Lendinara;45026;425642309
Rovigo;Cinema Teatro Duomo;Vicolo Duomo 5;Rovigo;45100;0425 22861
Rovigo;Cinema Teatro Indipendenza;Via Municipale 66;Castelnovo Bariano;45030;42581281
Rovigo;Cinema Teatro Mignon;Via Fratelli Baccari 37;Lendinara;45026;425641168
Rovigo;Cinema Teatro Padri Francescani;Via Angeli;Adria;45011;
Rovigo;Cinema Teatro Politeama;Corso Vittorio Emanuele 209;Adria;45011;42641777
Rovigo;Cine Teatro Santa Sofia;Piazza XX Settembre 1;Canaro;45034;0425940021 - 3358400942
Rovigo;Sala Eracle;Corso Risorgimento 1;Porto Viro;45014;426325754
Rovigo;Sala Europa;Piazza Aldo Moro 24;Villadose;45010;425405206
Rovigo;Sala Flumina;Piazza San Bartolomeo 18 c/o Museo dei Grandi Fiumi;Rovigo;45100;0425 25077
Rovigo;Sala Parrocchiale;Via Roma;Castelguglielmo;45020;0425707072 - 3283017959
Rovigo;Sala Parrocchiale di Ceregnano;Piazza Marconi 238;Ceregnano;45010;425476045
Rovigo;Teatro Beato Contardo Ferrini;Piazza Casellati 3;Adria;45011;42640151
Rovigo;Teatro Comunale;Via Berlinguer 42;Bosaro;45033;425932029
Rovigo;Teatro Comunale;Via Cavallotti 33;Occhiobello;45030;3498464714
Rovigo;Teatro Comunale;Via Roma 66;Canaro;45034;0425 940016 (int1)
Rovigo;Teatro Comunale Ballarin;Via Gian Battista Conti 4;Lendinara;45026;0425 642552
Rovigo;Teatro Comunale di Adria;Piazza Cavour 13;Adria;45011;4269411
Rovigo;Teatro Cotogni;Piazza Vittorio Veneto;Castelmassa;45035;425846711
Rovigo;Teatro di Pezzoli;Piazza Giovanni XXIII 60;Ceregnano;45010;
Rovigo;Teatro Don Bosco;Viale Marconi 5;Rovigo;45100;0425 33337
Rovigo;Teatro Ferruccio Martini;Piazza Garibaldi;Trecenta;45027;0425716126 -0425701089
Rovigo;Teatro Sala Europa;Via D. Alighieri n. 8;Taglio di Po;45019;426347111
Rovigo;Teatro San Benedetto;Piazza S. Benedetto (Grignano Polesine);Rovigo;45100;425494516
Rovigo;Teatro San Bortolo;Piazza San Bartolomeo 17;Rovigo;45100;42524934
Rovigo;Teatro Sociale Centro Parrocchiale;Piazza Marco d'AViano;Loreo;45017;0426669137 (canonica)/ 3400909747(salagiochi)
Rovigo;Teatro Sociale di Rovigo;Piazza Garbialdi 31;Rovigo;45100;042527853 - 042521734
Rovigo;Teatro Sociale Eugenio Balzan;Piazza Vittorio Emanuele II;Badia Polesine;45021;42551923
Rovigo;Teatro Studio;Viale Oroboni 14;Rovigo;45100;425070643
Rovigo;Teatro Trieste;Via Roma 62;Porto Viro;45014;
