"Nome Locale";"Capienza";"Provincia";"Comune";"Genere locale";"CAP";"Numero civico";"Toponimo";" Ingressi";"Giornate solari";"Indirizzo"
"COMUNALE PAESE";"0";"TREVISO";"Paese";"PALESTRA";"31038";"NON DISPON";"VIA";"41";"1";"OLIMPIA, SNC"
"CORSO - SALA 1";"396";"TREVISO";"Treviso";"CINEMA";"31100";"28";"CORSO DEL";"23372";"365";"POPOLO"
"CORSO - SALA 2";"118";"TREVISO";"Treviso";"CINEMA";"31100";"28";"CORSO DEL";"13437";"361";"POPOLO"
"CORSO - SALA 3";"120";"TREVISO";"Treviso";"CINEMA";"31100";"28";"CORSO DEL";"12179";"357";"POPOLO"
"CORTILE BOLASCO";"500";"TREVISO";"Castelfranco Veneto";"ALL'APERTO";"31033";"SNC";"BORGO";"5286";"29";"TREVISO"
"CRISTALLO";"550";"TREVISO";"Oderzo";"CINEMA";"31046";"44";"VIA";"30278";"305";"GIUSEPPE GARIBALDI"
"DEI GIUSEPPINI";"200";"TREVISO";"Spresiano";"CHIESA";"31027";"SNC";"VIA DEI";"321";"3";"GIUSEPPINI"
"DUSE";"500";"TREVISO";"Asolo";"TEATRO";"31011";"1";"PIAZZETTA";"399";"2";"ELEONORA DUSE"
"EDEN";"98";"TREVISO";"Vidor";"CINEMA";"31020";"32";"VIA";"5807";"365";"SCANDOLERA"
"EDERA - SALA 1";"210";"TREVISO";"Treviso";"CINEMA";"31100";"14";"VIA";"49546";"347";"ALBERTO RADAELLI"
"EDERA - SALA 2";"151";"TREVISO";"Treviso";"CINEMA";"31100";"14";"VIA";"37373";"347";"ALBERTO RADAELLI"
"EMBASSY";"759";"TREVISO";"Treviso";"CINEMA";"31100";"19";"LARGO";"7621";"250";"PORTA ALTINIA"
"GIOVANNI XXIII";"414";"TREVISO";"Cornuda";"CINEMA";"31041";"42";"PIAZZA";"3010";"49";"GIOVANNI XXIII"
"HESPERIA - SALA DUE";"100";"TREVISO";"Castelfranco Veneto";"CINEMA";"31033";"11/1";"VIA";"19626";"347";"GIORGIO SAVIANE"
"HESPERIA - SALA UNO";"208";"TREVISO";"Castelfranco Veneto";"CINEMA";"31033";"11/1";"VIA";"26156";"338";"GIORGIO SAVIANE"
"ITALIA - ITALIA 1 SALA ROSSA";"208";"TREVISO";"Montebelluna";"CINEMA";"31044";"31";"VIALE DELLA";"37752";"352";"VITTORIA"
"ITALIA - ITALIA 2 SALA BLU";"88";"TREVISO";"Montebelluna";"CINEMA";"31044";"31";"VIALE DELLA";"20221";"349";"VITTORIA"
"ITALIA - ITALIA 3 SALA AMARANTO";"96";"TREVISO";"Montebelluna";"CINEMA";"31044";"31";"VIALE DELLA";"19234";"352";"VITTORIA"
"MANZONI - SALA1";"300";"TREVISO";"Paese";"CINEMA";"31038";"18";"VIA";"33673";"280";"CESARE BATTISTI"
"MANZONI - SALA 2";"119";"TREVISO";"Paese";"CINEMA";"31038";"18";"VIA";"21361";"295";"CESARE BATTISTI"
"MANZONI - SALA 3";"99";"TREVISO";"Paese";"CINEMA";"31038";"18";"VIA";"15867";"293";"CESARE BATTISTI"
"MELIES - MULTISALA - SALA 1";"390";"TREVISO";"Conegliano";"CINEMA";"31015";"SNC";"VIALE";"61686";"366";"GIACOMO MATTEOTTI"
"MELIES - MULTISALA - SALA 2";"238";"TREVISO";"Conegliano";"CINEMA";"31015";"SNC";"VIALE";"35417";"366";"GIACOMO MATTEOTTI"
"MELIES - MULTISALA - SALA 3";"158";"TREVISO";"Conegliano";"CINEMA";"31015";"SNC";"VIALE";"19524";"274";"GIACOMO MATTEOTTI"
"MELIES - MULTISALA - SALA 4";"238";"TREVISO";"Conegliano";"CINEMA";"31015";"SNC";"VIALE";"26725";"364";"GIACOMO MATTEOTTI"
"MELIES - MULTISALA - SALA 5";"258";"TREVISO";"Conegliano";"CINEMA";"31015";"SNC";"VIALE";"43059";"364";"GIACOMO MATTEOTTI"
"NICOLO' BOCASSINO";"300";"TREVISO";"Valdobbiadene";"AUDITORIUM";"31049";"1";"VIALE";"1941";"46";"GIUSEPPE MAZZINI"
"PALAZZO GIACOMELLI";"100";"TREVISO";"Treviso";"SALA";"31100";"13";"PIAZZA";"150";"2";"GIUSEPPE GARIBALDI"
"PARCO PAPADOPOLI";"400";"TREVISO";"Vittorio Veneto";"ALL'APERTO";"31029";"SNC";"PIAZZA";"370";"7";"GIOVANNI PAOLO I"
"PICCOLO EDERA";"51";"TREVISO";"Treviso";"CINEMA";"31100";"14";"VIA";"26941";"347";"ALBERTO RADAELLI"
"SCUOLA MEDIA";"150";"TREVISO";"Carbonera";"SCUOLA";"31030";"56";"VIA";"261";"2";"ROMA"
"TEATRO MARGHERITA";"620";"TREVISO";"Riese Pio X";"ARENA";"31039";"SNC";"VIA";"805";"9";"GIUSEPPE SARTO"
"TENDA LAGO";"200";"TREVISO";"Revine Lago";"ALL'APERTO";"31020";"SNC";"VIA";"2448";"9";"GUGLIELMO MARCONI"
"VERDI SALA 1";"270";"TREVISO";"Vittorio Veneto";"CINEMA";"31029";"8";"VIA";"23540";"352";"GIROLAMO LIONI"
"VERDI SALA 2";"150";"TREVISO";"Vittorio Veneto";"CINEMA";"31029";"8";"VIA";"16378";"346";"GIROLAMO LIONI"
"VERDI SALA 3";"150";"TREVISO";"Vittorio Veneto";"CINEMA";"31029";"8";"VIA";"13258";"340";"GIROLAMO LIONI"
"VERDI SALA 4";"122";"TREVISO";"Vittorio Veneto";"CINEMA";"31029";"8";"VIA";"10176";"308";"GIROLAMO LIONI"
"VILLA CAVALIERI";"200";"TREVISO";"Arcade";"ALL'APERTO";"31030";"45";"VIA";"238";"4";"ROMA"
"VILLA MARGHERITA";"250";"TREVISO";"Treviso";"SALA";"31100";"SNC";"VIALE";"1483";"10";"GIAN GIACOMO FELISSENT"
"VILLA ONESTI-BON";"150";"TREVISO";"Paese";"ALL'APERTO";"31038";"SNC";"VIA";"103";"2";"GUGLIELMO MARCONI"
"ALL'APERTO PIAZZALE MUNICIPIO";"150";"VENEZIA";"Vigonovo";"ALL'APERTO";"30030";"SNC";"VIA";"289";"2";"VENETO"
"APERTO MARGHERA";"1000";"VENEZIA";"Venezia";"ALL'APERTO";"30175";"SNC";"PIAZZA DEL";"12518";"19";"MERCATO"
"ARENA ESTIVA GRUARO";"200";"VENEZIA";"Gruaro";"ALL'APERTO";"30020";"SNC";"VIA";"211";"2";"ROMA"
"ARENA ESTIVA S.POLO";"1110";"VENEZIA";"Venezia";"ALL'APERTO";"30125";"1";"CAMPO";"17326";"41";"SAN POLO"
"ASTRA - ASTRA 1";"225";"VENEZIA";"Venezia";"CINEMA";"30126";"9";"VIA";"22050";"311";"CORFU'"
"ASTRA - ASTRA 2";"136";"VENEZIA";"Venezia";"CINEMA";"30126";"9";"VIA";"14914";"306";"CORFU'"
"CASA DEL CINEMA";"50";"VENEZIA";"Venezia";"CINEMA";"30135";"1990";"S.TOPON.";"1831";"60";"SANTA CROCE"
"CONCORDIA";"360";"VENEZIA";"Concordia Sagittaria";"CINEMA";"30023";"46";"VIA";"7344";"82";"I MAGGIO"
"CORMORANO";"195";"VENEZIA";"Cavallino-Treporti";"SALA";"30013";"1";"PIAZZA";"2228";"22";"PAPA GIOVANNI PAOLO II"
"CRISTALLO - SALA 1";"240";"VENEZIA";"San Donà di Piave";"CINEMA";"30027";"1";"VIA";"13488";"288";"LUNGO PIAVE SUPERIORE"
"CRISTALLO - SALA 2";"260";"VENEZIA";"San Donà di Piave";"CINEMA";"30027";"1";"VIA";"15547";"298";"LUNGO PIAVE SUPERIORE"
"DANTE";"260";"VENEZIA";"Venezia";"MONOSALA CINEMA";"30171";"12";"VIA";"25092";"297";"SERNAGLIA"
"DON BOSCO";"357";"VENEZIA";"Chioggia";"CINEMA";"30015";"361";"CALLE";"8794";"117";"DON BOSCO"
"DON BOSCO";"420";"VENEZIA";"San Donà di Piave";"CINEMA";"30027";"86";"VIA";"15450";"124";"TREDICI MARTIRI"
"DUECENTO";"400";"VENEZIA";"Portogruaro";"CINEMA";"30026";"34";"VIA";"2325";"104";"ANNIA"
"ELIOS ALDO'";"299";"VENEZIA";"Scorzè";"TEATRO";"30037";"1";"VIA";"191";"4";"CERCARIOLO"
"EXCELSIOR - EXCELSIOR 1";"241";"VENEZIA";"Venezia";"CINEMA";"30174";"16";"PIAZZA";"45535";"363";"ERMINIO FERRETTO"
"EXCELSIOR - EXCELSIOR 2";"142";"VENEZIA";"Venezia";"CINEMA";"30174";"16";"PIAZZA";"23032";"365";"ERMINIO FERRETTO"
"EXCELSIOR - EXCELSIOR 3";"124";"VENEZIA";"Venezia";"CINEMA";"30174";"16";"PIAZZA";"21349";"359";"ERMINIO FERRETTO"
"GIARDINO SERRE VILLA PISANI";"300";"VENEZIA";"Stra";"ALL'APERTO";"30039";"SNC";"VIA";"1451";"9";"NAZIONALE"
"GIORGIONE - GIORGIONE SALA A";"213";"VENEZIA";"Venezia";"CINEMA";"30121";"4612";"S.TOPON.";"29891";"304";"CANNAREGIO"
"GIORGIONE - GIORGIONE SALA B";"74";"VENEZIA";"Venezia";"CINEMA";"30121";"4612";"S.TOPON.";"16119";"303";"CANNAREGIO"
"ITALIA";"432";"VENEZIA";"Dolo";"CINEMA";"30031";"12";"VIA";"5378";"23";"COMUNETTO"
"KUADRA";"100";"VENEZIA";"Chioggia";"BAR";"30015";"530";"VIALE";"66";"3";"MEDITERRANEO"
"MULTISALA CORSO - CORSINO";"104";"VENEZIA";"Venezia";"CINEMA";"30172";"40";"CORSO DEL";"16340";"292";"POPOLO"
"MULTISALA CORSO - CORSO";"960";"VENEZIA";"Venezia";"CINEMA";"30172";"40";"CORSO DEL";"26819";"258";"POPOLO"
"MUNICIPIO";"100";"VENEZIA";"Vigonovo";"ALL'APERTO";"30030";"SNC";"VIA";"166";"1";"VENETO"
"ORATORIO";"162";"VENEZIA";"Salzano";"CINEMA";"30030";"61";"VIA";"3615";"52";"XXV APRILE"
"PALAPLIP";"200";"VENEZIA";"Venezia";"AUDITORIUM";"30174";"195";"VIA";"63";"2";"SAN DONA'"
"PALAZZO - PALAZZO 1";"182";"VENEZIA";"Venezia";"CINEMA";"30174";"29";"VIA";"25817";"311";"PALAZZO"
"PALAZZO - PALAZZO 2";"194";"VENEZIA";"Venezia";"CINEMA";"30174";"29";"VIA";"26172";"309";"PALAZZO"
"PARCO VILLA COMUNALE";"300";"VENEZIA";"Portogruaro";"ALL'APERTO";"30026";"SNC";"VIA";"613";"3";"SEMINARIO"
"PARCO VILLA FARSETTI";"2500";"VENEZIA";"Santa Maria di Sala";"ALL'APERTO";"30036";"1";"VIA";"1157";"12";"ROMA"
"PIAVE";"400";"VENEZIA";"Venezia";"MONOSALA CINEMA";"30171";"24";"VIA";"34735";"365";"PREMUDA"
"PIAZZA 18 GIUGNO";"200";"VENEZIA";"Musile di Piave";"ALL'APERTO";"30024";"1";"PIAZZA";"333";"5";"XVIII GIUGNO"
"PIO DECIMO";"196";"VENEZIA";"Venezia";"CINEMA";"30142";"143";"VIA DI";"942";"32";"VIGNA"
"RONDINE";"360";"VENEZIA";"Martellago";"CINEMA";"30030";"50";"PIAZZA";"634";"7";"IV NOVEMBRE"
"ROSSINI - 1";"300";"VENEZIA";"Venezia";"CINEMA";"30124";"3997/A";"S.TOPON.";"14361";"70";"SAN MARCO"
"ROSSINI - 2";"110";"VENEZIA";"Venezia";"CINEMA";"30124";"3997/A";"S.TOPON.";"6262";"70";"SAN MARCO"
"ROSSINI - 3";"110";"VENEZIA";"Venezia";"CINEMA";"30124";"3997/A";"S.TOPON.";"6263";"70";"SAN MARCO"
"TEATRO COMUNALE DARIO FO";"271";"VENEZIA";"Camponogara";"TEATRO";"30010";"35";"PIAZZA";"294";"4";"CASTELLARO"
"TEATRO MIRANO - TEATRO MIRANO 1";"400";"VENEZIA";"Mirano";"CINEMA";"30035";"75";"VIA DELLA";"27778";"246";"VITTORIA"
"TEATRO MIRANO - TEATRO MIRANO 2";"100";"VENEZIA";"Mirano";"CINEMA";"30035";"75";"VIA DELLA";"16943";"262";"VITTORIA"
"TEATRO MIRANO - TEATRO MIRANO 3";"100";"VENEZIA";"Mirano";"CINEMA";"30035";"75";"VIA DELLA";"16802";"259";"VITTORIA"
"UCI MARCON - SALA 01";"153";"VENEZIA";"Marcon";"CINEMA";"30020";"1";"VIA";"18000";"354";"ENRICO MATTEI"
"UCI MARCON - SALA 02";"210";"VENEZIA";"Marcon";"CINEMA";"30020";"1";"VIA";"20845";"355";"ENRICO MATTEI"
"UCI MARCON - SALA 03";"318";"VENEZIA";"Marcon";"CINEMA";"30020";"1";"VIA";"28733";"356";"ENRICO MATTEI"
"UCI MARCON - SALA 04";"410";"VENEZIA";"Marcon";"CINEMA";"30020";"1";"VIA";"43492";"355";"ENRICO MATTEI"
"UCI MARCON - SALA 05";"118";"VENEZIA";"Marcon";"CINEMA";"30020";"1";"VIA";"13728";"349";"ENRICO MATTEI"
"UCI MARCON - SALA 06";"152";"VENEZIA";"Marcon";"CINEMA";"30020";"1";"VIA";"24122";"354";"ENRICO MATTEI"
"UCI MARCON - SALA 07";"141";"VENEZIA";"Marcon";"CINEMA";"30020";"1";"VIA";"21052";"355";"ENRICO MATTEI"
"UCI MARCON - SALA 08";"152";"VENEZIA";"Marcon";"CINEMA";"30020";"1";"VIA";"13302";"338";"ENRICO MATTEI"
"UCI MARCON - SALA 09";"118";"VENEZIA";"Marcon";"CINEMA";"30020";"1";"VIA";"12148";"350";"ENRICO MATTEI"
"UCI MARCON - SALA 10";"410";"VENEZIA";"Marcon";"CINEMA";"30020";"1";"VIA";"32211";"358";"ENRICO MATTEI"
"UCI MARCON - SALA 11";"189";"VENEZIA";"Marcon";"CINEMA";"30020";"1";"VIA";"24681";"357";"ENRICO MATTEI"
"UCI MARCON - SALA 12";"130";"VENEZIA";"Marcon";"CINEMA";"30020";"1";"VIA";"17093";"358";"ENRICO MATTEI"
"UCI MESTRE - SALA 01";"276";"VENEZIA";"Venezia";"CINEMA";"30175";"SNC";"VIA";"44658";"356";"COLOMBARA"
"UCI MESTRE - SALA 02";"201";"VENEZIA";"Venezia";"CINEMA";"30175";"SNC";"VIA";"22702";"353";"COLOMBARA"
"UCI MESTRE - SALA 03";"125";"VENEZIA";"Venezia";"CINEMA";"30175";"SNC";"VIA";"19656";"354";"COLOMBARA"
"UCI MESTRE - SALA 04";"111";"VENEZIA";"Venezia";"CINEMA";"30175";"SNC";"VIA";"14826";"353";"COLOMBARA"
"UCI MESTRE - SALA 05";"265";"VENEZIA";"Venezia";"CINEMA";"30175";"SNC";"VIA";"30794";"333";"COLOMBARA"
"UCI MESTRE - SALA 06";"225";"VENEZIA";"Venezia";"CINEMA";"30175";"SNC";"VIA";"23027";"356";"COLOMBARA"
"UCI MESTRE - SALA 07";"104";"VENEZIA";"Venezia";"CINEMA";"30175";"SNC";"VIA";"13390";"333";"COLOMBARA"
"UCI MESTRE - SALA 08";"250";"VENEZIA";"Venezia";"CINEMA";"30175";"SNC";"VIA";"31756";"352";"COLOMBARA"
"UCI MESTRE - SALA 09";"179";"VENEZIA";"Venezia";"CINEMA";"30175";"SNC";"VIA";"18361";"349";"COLOMBARA"
"UCI MESTRE - SALA 10";"217";"VENEZIA";"Venezia";"CINEMA";"30175";"SNC";"VIA";"27256";"354";"COLOMBARA"
"UCI MESTRE - SALA 11";"128";"VENEZIA";"Venezia";"CINEMA";"30175";"SNC";"VIA";"16185";"353";"COLOMBARA"
"UCI MESTRE - SALA 12";"116";"VENEZIA";"Venezia";"CINEMA";"30175";"SNC";"VIA";"17407";"354";"COLOMBARA"
"UCI MESTRE - SALA 13";"205";"VENEZIA";"Venezia";"CINEMA";"30175";"SNC";"VIA";"30410";"355";"COLOMBARA"
"VERDI - VERDI A";"302";"VENEZIA";"Cavarzere";"CINEMA";"30014";"4";"PIAZZETTA";"2846";"226";"MAINARDI"
"VERDI - VERDI B";"120";"VENEZIA";"Cavarzere";"CINEMA";"30014";"4";"PIAZZETTA";"2503";"230";"MAINARDI"
"VIVALDI";"499";"VENEZIA";"Jesolo";"AUDITORIUM";"30017";"1";"VIALE DEL";"1870";"44";"BERSAGLIERE"
"ALL'APERTO";"300";"PADOVA";"Conselve";"ALL'APERTO";"35026";"SNC";"PIAZZA";"2267";"18";"DANTE"
"APERTO VILLA CONTARI";"10000";"PADOVA";"Piazzola sul Brenta";"ALL'APERTO";"35016";"1";"VIA";"407";"3";"LUIGI CAMERINI"
"ARENA MARTINELLI";"400";"PADOVA";"Montagnana";"ALL'APERTO";"35044";"SNC";"PIAZZA";"748";"7";"TRIESTE"
"ARENA MONTEMERLO";"500";"PADOVA";"Cervarese Santa Croce";"ALL'APERTO";"35030";"101";"VIA";"308";"2";"ROMA"
"ARENA ROMANA";"200";"PADOVA";"Padova";"ARENA";"35121";"SNC";"PIAZZA";"7571";"76";"EREMITANI"
"ASTRA - ASTRA 1";"334";"PADOVA";"Padova";"CINEMA";"35132";"21";"VIA";"34319";"317";"TIZIANO ASPETTI"
"ASTRA - ASTRA 2";"150";"PADOVA";"Padova";"CINEMA";"35132";"21";"VIA";"19627";"321";"TIZIANO ASPETTI"
"ASTRA - ASTRA 3";"106";"PADOVA";"Padova";"CINEMA";"35132";"21";"VIA";"15790";"322";"TIZIANO ASPETTI"
"AURORA";"442";"PADOVA";"Campodarsego";"CINEMA";"35011";"1";"PIAZZA";"5680";"78";"EUROPA"
"BELLINI";"320";"PADOVA";"Montagnana";"CINEMA";"35044";"3";"VIA";"13616";"182";"BERGHETTA II"
"CASA DI RIPOSO";"500";"PADOVA";"Pontelongo";"ALL'APERTO";"35029";"26";"VIA";"722";"5";"MARTIRI D'UNGHERIA"
"CENTRO CIVICO PRESCA";"100";"PADOVA";"Selvazzano Dentro";"SALA";"35030";"11";"VIA";"618";"7";"CRISTOFORO COLOMBO"
"CENTRO POLIVALENTE";"150";"PADOVA";"San Martino di Lupari";"ALL'APERTO";"35018";"5";"VIA";"2105";"12";"TRENTO"
"CHIOSTRO S.FRANCESCO";"480";"PADOVA";"Este";"ALL'APERTO";"35042";"23";"VIA";"892";"7";"GIUSEPPE GARIBALDI"
"CINECITY MULTIPLEX - SALA 1";"572";"PADOVA";"Limena";"CINEMA";"35010";"15/16";"VIA";"134952";"362";"V.S. BREDA"
"CINECITY MULTIPLEX - SALA 10";"138";"PADOVA";"Limena";"CINEMA";"35010";"15/16";"VIA";"46741";"366";"V.S. BREDA"
"CINECITY MULTIPLEX - SALA 11";"130";"PADOVA";"Limena";"CINEMA";"35010";"15/16";"VIA";"37868";"366";"V.S. BREDA"
"CINECITY MULTIPLEX - SALA 12";"130";"PADOVA";"Limena";"CINEMA";"35010";"15/16";"VIA";"39956";"366";"V.S. BREDA"
"CINECITY MULTIPLEX - SALA 13";"130";"PADOVA";"Limena";"CINEMA";"35010";"15/16";"VIA";"36614";"366";"V.S. BREDA"
"CINECITY MULTIPLEX - SALA 14";"118";"PADOVA";"Limena";"CINEMA";"35010";"15/16";"VIA";"33530";"366";"V.S. BREDA"
"CINECITY MULTIPLEX - SALA 2";"464";"PADOVA";"Limena";"CINEMA";"35010";"15/16";"VIA";"111099";"364";"V.S. BREDA"
"CINECITY MULTIPLEX - SALA 3";"150";"PADOVA";"Limena";"CINEMA";"35010";"15/16";"VIA";"43942";"366";"V.S. BREDA"
"CINECITY MULTIPLEX - SALA 4";"150";"PADOVA";"Limena";"CINEMA";"35010";"15/16";"VIA";"43063";"363";"V.S. BREDA"
"CINECITY MULTIPLEX - SALA 5";"322";"PADOVA";"Limena";"CINEMA";"35010";"15/16";"VIA";"84960";"365";"V.S. BREDA"
"CINECITY MULTIPLEX - SALA 6";"274";"PADOVA";"Limena";"CINEMA";"35010";"15/16";"VIA";"77198";"366";"V.S. BREDA"
"CINECITY MULTIPLEX - SALA 7";"182";"PADOVA";"Limena";"CINEMA";"35010";"15/16";"VIA";"52749";"366";"V.S. BREDA"
"CINECITY MULTIPLEX - SALA 8";"222";"PADOVA";"Limena";"CINEMA";"35010";"15/16";"VIA";"64718";"366";"V.S. BREDA"
"CINECITY MULTIPLEX - SALA 9";"196";"PADOVA";"Limena";"CINEMA";"35010";"15/16";"VIA";"61501";"365";"V.S. BREDA"
"CINEMA MARCONI";"500";"PADOVA";"Piove di Sacco";"CINEMA";"35028";"7";"VIA";"9264";"105";"GAUSLINO"
"CINEMA MARCONI";"250";"PADOVA";"Conselve";"CINEMA";"35026";"23";"VIA";"16492";"207";"VITTORIO EMANUELE II"
"CINEMA POLITEAMA";"295";"PADOVA";"Piove di Sacco";"CINEMA";"35028";"19";"VIA";"17422";"259";"CAMILLO BENSO CONTE DI CAVOUR"
"CINEPLEX - SALA 01";"370";"PADOVA";"Due Carrare";"CINEMA";"35020";"14";"VIA";"37625";"338";"ANTONIO DE CURTIS"
"CINEPLEX - SALA 02";"348";"PADOVA";"Due Carrare";"CINEMA";"35020";"14";"VIA";"31819";"336";"ANTONIO DE CURTIS"
"CINEPLEX - SALA 03";"302";"PADOVA";"Due Carrare";"CINEMA";"35020";"14";"VIA";"27157";"361";"ANTONIO DE CURTIS"
"CINEPLEX - SALA 04";"234";"PADOVA";"Due Carrare";"CINEMA";"35020";"14";"VIA";"18960";"305";"ANTONIO DE CURTIS"
"CINEPLEX - SALA 05";"116";"PADOVA";"Due Carrare";"CINEMA";"35020";"14";"VIA";"15225";"363";"ANTONIO DE CURTIS"
"CINEPLEX - SALA 06";"104";"PADOVA";"Due Carrare";"CINEMA";"35020";"14";"VIA";"13063";"305";"ANTONIO DE CURTIS"
"CINEPLEX - SALA 07";"104";"PADOVA";"Due Carrare";"CINEMA";"35020";"14";"VIA";"13226";"360";"ANTONIO DE CURTIS"
"CINEPLEX - SALA 08";"200";"PADOVA";"Due Carrare";"CINEMA";"35020";"14";"VIA";"19529";"358";"ANTONIO DE CURTIS"
"CINEPLEX - SALA 09";"216";"PADOVA";"Due Carrare";"CINEMA";"35020";"14";"VIA";"17890";"306";"ANTONIO DE CURTIS"
"CINEPLEX - SALA 10";"212";"PADOVA";"Due Carrare";"CINEMA";"35020";"14";"VIA";"15573";"304";"ANTONIO DE CURTIS"
"COLLEGIO DON MAZZA";"200";"PADOVA";"Padova";"SCUOLA";"35137";"176";"VIA";"1055";"11";"SAVONAROLA"
"CORALLO";"228";"PADOVA";"Monselice";"CINEMA";"35043";"1";"VIA";"3373";"69";"SAN LUIGI"
"CORTILE BARBARIGO";"200";"PADOVA";"Padova";"ALL'APERTO";"35122";"7";"VIA DEL";"2464";"29";"SEMINARIO"
"DUCALE";"220";"PADOVA";"Padova";"CINEMA";"35126";"34";"VIA";"31075";"328";"JACOPO FACCIOLATI"
"ESPERIA";"300";"PADOVA";"Padova";"CINEMA";"35136";"90";"VIA";"10577";"232";"CHIESANUOVA"
"FARINELLI";"328";"PADOVA";"Este";"CINEMA";"35042";"8";"VIA";"20775";"252";"ANTONIO ZANCHI"
"FILARMONICO COMUNALE";"221";"PADOVA";"Piove di Sacco";"TEATRO";"35028";"7";"VIA";"499";"13";"GIROLAMO CARDANO"
"LA PERLA";"500";"PADOVA";"Torreglia";"CINEMA";"35038";"47";"VIA";"1153";"7";"MIRABELLO"
"LAS VEGAS";"350";"PADOVA";"Trebaseleghe";"CINEMA";"35010";"15";"VIA";"14216";"144";"CASTELLANA"
"LUX";"270";"PADOVA";"Padova";"CINEMA";"35124";"9";"VIALE";"16074";"224";"FELICE CAVALLOTTI"
"MARCONI";"400";"PADOVA";"Abano Terme";"CINEMA";"35031";"3";"VIA";"6405";"88";"SAN PIO X"
"MPX DONATELLO";"86";"PADOVA";"Padova";"CINEMA";"35129";"22";"VIA";"15925";"321";"ANTONIO FRANCESCO BONPORTI"
"MPX GIOTTO";"99";"PADOVA";"Padova";"CINEMA";"35129";"22";"VIA";"17956";"321";"ANTONIO FRANCESCO BONPORTI"
"MPX PETRARCA";"556";"PADOVA";"Padova";"CINEMA";"35129";"22";"VIA";"33076";"299";"ANTONIO FRANCESCO BONPORTI"
"MUSEO DEL VETRO";"50";"PADOVA";"Montegrotto Terme";"MUSEO";"35036";"1";"VIA";"81";"6";"ENRICO FERMI"
"PALLADIO";"410";"PADOVA";"Cittadella";"CINEMA";"35014";"4";"VIA";"3914";"13";"MONTE GRAPPA"
"PICCOLO TEATRO DON BOSCO";"390";"PADOVA";"Padova";"TEATRO";"35142";"2";"VIA";"13539";"106";"ASOLO"
"REX";"440";"PADOVA";"Padova";"CINEMA";"35126";"4";"VIA";"12392";"146";"SANT'OSVALDO"
"RUZANTE";"200";"PADOVA";"Padova";"TEATRO";"35123";"44";"RIVIERA";"911";"7";"TITO LIVIO"
"SALA 1 PORTO ASTRA";"152";"PADOVA";"Padova";"CINEMA";"35125";"20";"VIA";"39362";"366";"SANTA MARIA ASSUNTA"
"SALA 2 PORTO ASTRA";"188";"PADOVA";"Padova";"CINEMA";"35125";"20";"VIA";"59088";"365";"SANTA MARIA ASSUNTA"
"SALA 3 PORTO ASTRA";"102";"PADOVA";"Padova";"CINEMA";"35125";"20";"VIA";"26464";"366";"SANTA MARIA ASSUNTA"
"SALA 4 PORTO ASTRA";"102";"PADOVA";"Padova";"CINEMA";"35125";"20";"VIA";"24334";"364";"SANTA MARIA ASSUNTA"
"SALA 5 PORTO ASTRA";"102";"PADOVA";"Padova";"CINEMA";"35125";"20";"VIA";"29336";"366";"SANTA MARIA ASSUNTA"
"SALA 6 PORTO ASTRA";"102";"PADOVA";"Padova";"CINEMA";"35125";"20";"VIA";"29730";"365";"SANTA MARIA ASSUNTA"
"SALA 7 PORTO ASTRA";"158";"PADOVA";"Padova";"CINEMA";"35125";"20";"VIA";"43558";"366";"SANTA MARIA ASSUNTA"
"SALA 8 PORTO ASTRA";"206";"PADOVA";"Padova";"CINEMA";"35125";"20";"VIA";"35827";"286";"SANTA MARIA ASSUNTA"
"SAN GIORGIO";"296";"PADOVA";"San Giorgio in Bosco";"TEATRO";"35010";"1";"VIA";"65";"1";"SEGA"
"S.MARTINO CENTRO PARR.LE";"100";"PADOVA";"Vigodarzere";"SALA";"35010";"147";"VIA";"200";"2";"ROMA"
"SS.SIMONE E GIUDA PATRONATO";"100";"PADOVA";"Saonara";"SALA";"35020";"10";"PIAZZALE";"271";"2";"SAN SIMONE"
"TEATRO GIARDINO";"426";"PADOVA";"San Giorgio delle Pertiche";"TEATRO";"35010";"3";"VIA";"15665";"104";"ROMA"
"TORRESINO";"147";"PADOVA";"Padova";"CINEMA";"35122";"2";"VIA DEL";"3610";"68";"TORRESINO"
"VIA ADRIA";"380";"PADOVA";"Padova";"ALL'APERTO";"35142";"2";"VIA";"4456";"30";"ADRIA"
"VIA BUONARROTI";"100";"PADOVA";"Padova";"ALL'APERTO";"35134";"60";"VIA";"684";"4";"MICHELANGELO BUONARROTI"
"VILLA CAMPELLO";"300";"PADOVA";"Camposampiero";"ALL'APERTO";"35012";"12";"VIA";"278";"2";"TISO"
"VILLA CONTARINI";"4000";"PADOVA";"Piazzola sul Brenta";"SALA";"35016";"1";"VIA DEI";"439";"3";"CONTARINI"
"CINERGIA - SALA 1";"145";"ROVIGO";"Rovigo";"CINEMA";"45100";"209";"VIALE";"39245";"350";"PORTA PO"
"CINERGIA - SALA 2";"122";"ROVIGO";"Rovigo";"CINEMA";"45100";"209";"VIALE";"24793";"350";"PORTA PO"
"CINERGIA - SALA 3";"122";"ROVIGO";"Rovigo";"CINEMA";"45100";"209";"VIALE";"25199";"349";"PORTA PO"
"CINERGIA - SALA 4";"259";"ROVIGO";"Rovigo";"CINEMA";"45100";"209";"VIALE";"60989";"350";"PORTA PO"
